PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
30275531,Klarin D,Hispanic or Latin American,NR,U.S.,
30275531,Klarin D,NR,NR,NA,
30276832,Edwards AC,European,NR,"U.S., U.K.",
30276832,Edwards AC,African unspecified,NR,U.S.,
30276832,Edwards AC,Hispanic or Latin American,NR,U.S.,
30319691,Liu C,NR,NR,NR,
30248107,Wu S,East Asian,NR,China,Han Chinese
30248107,Wu S,Other admixed ancestry,NR,China,Uyghur
30248107,Wu S,Hispanic or Latin American,NR,NA,Latin American
30248107,Wu S,European,NR,Netherlands,Dutch
30319691,Liu C,NR,NR,NR,
30319691,Liu C,NR,NR,NR,NA
30319691,Liu C,NR,NR,NR,
30247649,NA,"Greater Middle Eastern (Middle Eastern, North African or Persian)",NR,"Iran (Islamic Republic of), Turkey","Iranian, Turkish"
30223776,Hwang LD,European,NR,NR,NA
30224653,Evangelou E,European,NR,"U.K., NR",
30224653,Evangelou E,European,NR,"NR, U.K.",
30224653,NA,European,NR,NA,
30224653,Evangelou E,European,NR,NR,
30224653,Evangelou E,European,NR,"U.K., NR",
30224653,Evangelou E,European,NA,NR,
30224653,Evangelou E,European,NA,NA,
30223776,Hwang LD,European,NR,NR,
30224653,Evangelou E,European,NR,NR,
30224653,Evangelou E,European,NR,"U.K., NR",
30275891,Das S,NR,NR,NR,NA
30263053,NA,NA,NR,U.S.,
30263053,Deng X,NR,NR,U.S.,NA
30263053,Deng X,NR,NR,U.S.,
30275891,Das S,NA,NR,NR,
30217807,Robinson-Cohen C,European,NR,NR,
30217807,Robinson-Cohen C,African unspecified,NR,NR,
30218097,Munz M,European,NR,"U.S., Germany, Netherlands",
30218097,Munz M,European,NA,Germany,NA
30213928,Went M,European,NR,"Germany, U.S., Netherlands, Iceland, Norway, Sweden, U.K.",
30213928,Went M,NA,NR,"Germany, Denmark, Sweden",
30277614,Carlson JC,NR,NR,NR,
30202859,Laisk T,European,NA,"U.K., Estonia",
30219690,Heinzman JT,European,NR,NA,non-Hispanic White
30219690,Heinzman JT,African American or Afro-Caribbean,NR,U.S.,African American
30194396,Rafnar T,NA,NR,NA,"Icelandic, white British"
30188897,Jeong C,NR,NR,Nepal,
30220432,Haas ME,European,NR,U.K.,
30188897,Jeong C,NA,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,NA,NR,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,NA,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,NA,NR,NA,NA,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,NA,
30188897,NA,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,NA
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NA,Nepal,
30188897,NA,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30220432,Haas ME,European,NR,U.K.,NA
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,NA
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30185882,Zeiger AM,African American or Afro-Caribbean,NR,U.S.,African American
30178632,Meng W,European,NR,U.K.,Scottish
30181573,Jing J,European,NR,Germany,
30181555,Strawbridge RJ,European,NR,NR,white British
30181555,Strawbridge RJ,South Asian,NR,NR,
30181555,Strawbridge RJ,African American or Afro-Caribbean,NR,NR,African Caribbean
30181555,Strawbridge RJ,European,NR,NR,white non-British
30181555,Strawbridge RJ,NR,NR,NR,mixed ancestry
30181573,Jing J,European,NR,Germany,
30177863,Maguire LH,European,NR,U.K.,white British
30196971,Bray MJ,"European, African American or Afro-Caribbean",NR,U.S.,"African American, European American"
30196971,Bray MJ,"European, African American or Afro-Caribbean",NR,U.S.,"African American, European American"
30196971,Bray MJ,"African American or Afro-Caribbean, European",NR,U.S.,"African American, European American"
30166627,Massey J,European,NA,NA,
30169916,Sun Y,East Asian,NR,China,NA
30169916,Sun Y,East Asian,NR,China,Chinese
30169916,Sun Y,East Asian,NA,China,Chinese
30169916,Sun Y,East Asian,NR,China,NA
30166627,Massey J,European,NA,U.K.,
30166627,Massey J,European,NR,NA,
30166627,Massey J,European,NR,NA,
30166627,Massey J,European,NR,U.K.,
30172742,Hu Y,European,NR,NR,
30161160,NA,East Asian,NR,"Japan, Singapore",
30161160,Onishi H,"East Asian, Asian unspecified",NR,"Japan, Singapore",
30160337,Asleh R,NA,NR,U.S.,
30160337,Asleh R,NA,NR,U.S.,
30160337,Asleh R,NR,NR,U.S.,
30172743,Liang X,European,NR,U.S.,
30172743,Liang X,European,NA,NA,
30172743,Liang X,European,NR,U.S.,NA
30172743,Liang X,European,NA,NA,NA
30172743,NA,European,NR,U.S.,
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR",NA
30158200,Trajanoska K,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K.","Northern European, North Western European, European American"
30158200,Trajanoska K,European,NR,U.S.,
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR",Southern Han Chinese
30158200,Trajanoska K,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K.","Northern European, North Western European, European American"
30158200,Trajanoska K,European,NR,"Canada, U.S., Australia, Austria, France, Netherlands, Poland, Denmark, Finland, Sweden, U.K., Greece, Italy, Malta, Slovenia, Spain, NR",NA
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR, Republic of Korea","Chinese, East Asian/Korean"
30158200,Trajanoska K,Other,NR,NA,"Russian, Tatar"
30169657,Ashar FN,European,NA,"U.S., France, Germany, Netherlands, Finland, NR",
30169657,Ashar FN,"European, African unspecified, Asian unspecified",NR,"U.S., Netherlands, Denmark, Finland, Sweden",
30169657,Ashar FN,African American or Afro-Caribbean,NR,U.S.,
30169657,Ashar FN,Asian unspecified,NR,U.S.,
30150663,Pasman JA,European,NR,"Canada, U.S., Australia, NR",
30152087,NA,NR,NR,NR,
30294719,Zeng Y,East Asian,NR,NA,Han Chinese
30132804,Kim M,East Asian,NR,Republic of Korea,Korean
30134952,Traglia M,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,U.S.,NA
30134952,NA,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,U.S.,
30134952,NA,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,NA,NA
30134952,Traglia M,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,U.S.,
30130595,Dominguez-Cruz MG,Native American,NR,Mexico,Maya
30120420,Sun R,South Asian,NR,Bangladesh,Bangladeshi
30120420,Sun R,Hispanic or Latin American,NR,Mexico,
30120336,Kikuchi M,East Asian,NR,Japan,Japanese
30120429,Schlauch KA,European,NR,U.S.,
30120420,Sun R,South Asian,NR,Bangladesh,Bangladeshi
30120420,Sun R,Hispanic or Latin American,NR,NA,
30120336,NA,NA,NR,Japan,Japanese
30120336,Kikuchi M,NA,NR,Japan,Japanese
30120336,Kikuchi M,East Asian,NR,Japan,Japanese
30120336,NA,East Asian,NR,Japan,Japanese
30120336,Kikuchi M,East Asian,NA,Japan,Japanese
30120336,Kikuchi M,East Asian,NR,Japan,Japanese
30120336,Kikuchi M,East Asian,NA,Japan,Japanese
30120336,Kikuchi M,East Asian,NR,Japan,Japanese
30120336,Kikuchi M,East Asian,NR,Japan,NA
30120336,Kikuchi M,East Asian,NR,Japan,Japanese
30124842,Yengo L,NA,NR,NR,
30124842,Yengo L,European,NR,NR,NA
30174134,NA,Other admixed ancestry,NR,China,Uyghur
30174134,NA,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NA,NA,Han Chinese
30174134,Qiao L,NA,NA,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,NA,NA,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,NA,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,NA,NR,China,Uyghur
30174134,Qiao L,NA,NR,NR,NA
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,NA,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,NA,NA,NR,NA,Uyghur
30174134,Qiao L,East Asian,NR,NA,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,NA,Uyghur
30174134,Qiao L,NA,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NA,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,NA
30174134,Qiao L,Other admixed ancestry,NR,China,NA
30174134,Qiao L,East Asian,NR,NA,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,NA
30174134,Qiao L,Other admixed ancestry,NR,NA,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,NA,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NA,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,NA,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,NA
30174134,NA,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NA,Han Chinese
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,NA,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,NA,NR,China,NA
30174134,Qiao L,Other admixed ancestry,NA,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30174134,Qiao L,NA,NR,China,Uyghur
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,East Asian,NR,NR,Han Chinese
30124842,Yengo L,NR,NR,NR,
30124842,Yengo L,European,NA,NR,
30113228,Torgerson DG,European,NR,U.S.,non-Hispanic White
30113228,NA,African American or Afro-Caribbean,NA,U.S.,African American
30113228,Torgerson DG,Hispanic or Latin American,NR,U.S.,Hispanic white
30116032,Erlangsen A,European,NR,Denmark,
30116032,Erlangsen A,European,NR,Denmark,NA
30174134,Qiao L,Other admixed ancestry,NR,China,Uyghur
30174134,Qiao L,NA,NR,China,Uyghur
30174134,Qiao L,NA,NR,NA,Han Chinese
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30108209,Ganjgahi H,European,NR,NR,
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30120083,NA,NA,NR,U.K.,
30108127,Hoffmann TJ,European,NR,NR,non-Hispanic white
30108127,Hoffmann TJ,Hispanic or Latin American,NR,NR,Hispanic/Latino
30108127,Hoffmann TJ,East Asian,NR,NR,
30108127,Hoffmann TJ,African American or Afro-Caribbean,NR,NR,African American
30108127,Hoffmann TJ,South Asian,NR,NR,
30108127,Hoffmann TJ,European,NR,NR,NA
30108127,Hoffmann TJ,South Asian,NR,NR,NA
30108127,Hoffmann TJ,African unspecified,NR,NR,African British
30108127,NA,East Asian,NR,NR,
30108127,Hoffmann TJ,NR,NR,NR,
30120083,Ferguson A,European,NR,U.K.,
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,NA,Arab
30108155,NA,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait,Arab
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",NA,Kuwait,Arab
30104567,Ji X,European,NR,"U.S., Italy, NR",NA
30104567,Ji X,European,NR,NR,
30104601,Ren H,European,NR,NR,
30104601,Ren H,NA,NA,NR,
30102696,Chen Y,European,NR,U.S.,
30102696,NA,European,NR,NA,
30104567,Ji X,European,NR,"U.S., Italy, NR",
30104567,Ji X,European,NR,NR,
30103242,NA,European,NR,U.S.,
30103242,NA,NA,NR,U.S.,
30104567,Ji X,European,NR,"U.S., Italy, NR",
30102679,Hara M,NA,NA,Japan,Japanese
30102679,NA,East Asian,NR,Japan,Japanese
30102679,Hara M,East Asian,NR,Japan,NA
30102679,Hara M,East Asian,NR,Japan,Japanese
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K.",
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K.",
30093639,Machiela MJ,European,NR,"U.S., France, Spain",
30093639,Machiela MJ,European,NR,"France, Germany",
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K.",
30089514,Chen JA,European,NR,"U.S., France, Germany, U.K., NR",
30087447,Aubart M,European,NR,NR,
30087453,Yilmaz Z,European,NR,NR,
30099483,Hwangbo Y,East Asian,NR,Republic of Korea,Korean
30099483,Hwangbo Y,East Asian,NR,Republic of Korea,Korean
30072576,Emilsson V,European,NA,Iceland,
30071075,Jiang L,European,NA,NR,
30073298,NA,European,NA,"Germany, Netherlands",
30070759,Olsson M,European,NR,Sweden,Swedish
30071075,Jiang L,NA,NR,NR,
30196823,Blum S,European,NR,Australia,Caucasian
30068317,Li X,European,NA,NR,
30068317,Li X,European,NR,NR,NA
30067744,Howe LJ,European,NR,NR,
30067744,Howe LJ,NR,NR,NR,
30067105,Chang LC,East Asian,NA,NA,
30067105,Chang LC,NA,NR,Taiwan,
30067744,Howe LJ,European,NR,"U.S., U.K.",
30066433,Jabbari E,European,NR,U.K.,
30061609,Wyss AB,NA,NR,"U.S., Australia, Netherlands, Brazil, Denmark, Iceland",
30061609,Wyss AB,African unspecified,NA,"U.S., Brazil",
30061609,Wyss AB,Hispanic or Latin American,NA,U.S.,
30061609,Wyss AB,NA,NR,Republic of Korea,
30061609,NA,European,NA,"Australia, Netherlands, Brazil, Denmark, Iceland, U.S.",
30061609,Wyss AB,African unspecified,NR,"U.S., Brazil",
30061609,Wyss AB,Hispanic or Latin American,NR,U.S.,
30061609,Wyss AB,East Asian,NR,Republic of Korea,
30061737,Nielsen JB,European,NR,"U.S., Iceland, Norway, U.K.",
30061609,Wyss AB,European,NA,NA,
30061609,Wyss AB,NA,NR,"U.S., Brazil",
30061609,Wyss AB,NA,NR,U.S.,
30061609,NA,East Asian,NA,NA,NA
30054556,Akiyama M,East Asian,NR,NA,
30054556,Akiyama M,East Asian,NR,Japan,
30060048,Wang SC,East Asian,NR,Taiwan,Taiwanese
30054458,Xue A,European,NR,NR,
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,NA,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,NA,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,NA,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,NA,France,Metropolitan French
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,France,NA
30053915,Scepanovic P,European,France,NA,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,Scepanovic P,NA,France,NA,Metropolitan French
30053915,Scepanovic P,European,France,France,Metropolitan French
30053915,NA,European,France,France,Metropolitan French
30053915,Scepanovic P,NA,France,France,Metropolitan French
30054594,MacGregor S,European,NR,NR,"white British, Northern European"
30053915,Scepanovic P,European,NA,NA,Metropolitan French
30054594,MacGregor S,European,NR,NA,"white British, Northern European"
30054458,Xue A,European,NR,NR,
30054458,NA,South Asian,NR,NR,Pakistani
30048462,Kim SK,European,NR,NR,NA
30049742,Terzikhan N,European,NR,"U.S., Netherlands",
30038396,Lee JJ,NA,NR,"U.S., Australia, Austria, Belgium, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Iceland, Norway, Sweden, U.K., Croatia, Greece, Italy",
30038396,Lee JJ,NA,NR,"U.S., NR",
30038396,NA,European,NR,"U.S., Estonia, U.K.",
30038396,Lee JJ,European,NA,"NR, U.S.",
30038396,Lee JJ,European,NR,"U.S., NR",
30038396,Lee JJ,European,NA,"U.K., NR",
30038396,Lee JJ,European,NR,"U.K., NR",
30038396,Lee JJ,European,NR,"U.S., Australia, Austria, Belgium, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Iceland, Norway, Sweden, U.K., Croatia, Greece, Italy",
30079052,Rujescu D,European,NR,Germany,"German, European"
30031151,Virtanen VB,European,NR,Finland,
30031151,Virtanen VB,European,NR,Sweden,Swedish
30031151,Virtanen VB,NA,NR,Finland,NA
30019117,Liu J,NR,NR,NR,
30145303,Kimbrel NA,European,NR,U.S.,
30145303,Kimbrel NA,NR,NR,U.S.,
30145303,Kimbrel NA,NA,NR,U.S.,
30145303,Kimbrel NA,NR,NR,U.S.,
30013178,Kowalec K,European,NA,"U.S., Sweden",
30013178,Kowalec K,European,NR,Canada,
30013184,Waage J,"European, NR",NR,"Australia, Germany, Netherlands, Denmark, Finland, U.K.",
30013184,Waage J,"European, NR",NR,NA,
30014611,Weiss RB,European,NR,NR,
30014611,NA,NR,NR,NR,
30012571,Jia X,East Asian,NR,Japan,Japanese
30012571,Jia X,East Asian,NA,Japan,NA
