"level" "region"
24.61418467885051 1
24.052488124965137 1
34.31278080615979 1
16.19872853655825 1
10.661517676135343 1
5.879509823875466 1
12.452018225994264 1
14.509466003133934 1
11.613581012819054 1
28.217502764420004 1
5.466493738846324 1
9.200928885892194 1
26.378173347604594 1
21.415158146300836 1
33.662565495806234 1
8.540512982384922 1
29.753575090974334 1
21.199151775830753 1
40.50132817438845 1
19.984360701784997 1
16.17367136195261 1
18.098194433281662 1
15.40331562139907 1
19.093042276979748 1
9.791311701689342 1
28.224715315919337 1
50.304488521874546 1
29.206104108199618 1
32.22032700716045 2
17.92906282907781 2
3.993399901208555 2
37.755027053976974 2
31.975563886977817 2
21.751646247758067 2
11.29930712127642 2
30.928606235422368 2
14.668508372605826 2
45.98124865499843 2
20.56707321360762 2
21.984508722581015 2
38.39555552489081 2
30.526392732733413 2
38.16531977558607 2
16.87144686164079 2
18.184024798880504 2
3.397726707099885 2
1.8095894122846161 2
15.449920446984372 2
35.116184001717954 2
18.268404186901392 2
37.43227318553789 2
26.755380371927412 2
38.564653289193714 2
40.63189502383379 2
18.287747224529667 2
36.26470581439348 2
20.297096099570023 2
12.262224247978956 2
20.77131472061579 2
36.41633531151214 2
22.029657790272477 2
23.823057034257893 2
32.91962667214365 2
42.78080879368227 3
24.8495391805086 3
14.121240616576031 3
12.948650515129952 3
19.47799913408151 3
11.98550497613563 3
27.04609514274054 3
33.21769495220156 3
32.480619627798575 3
12.925044863890001 3
38.83437660156913 3
18.87943594368008 3
27.2199307616033 3
27.623487106192545 3
5.37826472915085 3
14.358289984246827 3
12.586726074582277 3
18.566194136884675 3
12.892510005442176 3
14.330932167096766 3
27.071534640083975 3
18.300885924767012 3
26.201482055033267 3
14.10011428877036 3
36.38792043773033 3
12.759288918706588 3
25.26761902788465 3
