"conc" "inhibitor" "rate"
0.3 0 0.112239409924906
0.35 0 0.121604170862792
0.4 0 0.128387013449826
0.45 0 0.135435062256089
0.5 0 0.13895156375795
0.6 0 0.146972824147369
0.7 0 0.152402147491313
1.3 0 0.178485978449322
1.9 0 0.186252012164072
2.9 0 0.19534111777759
3.9 0 0.196571924971325
0.3 100 0.0972632806682943
0.35 100 0.108171173552082
0.4 100 0.114500591642639
0.45 100 0.116971305166212
0.5 100 0.117300924705766
0.6 100 0.13034221066198
0.7 100 0.141402356881723
1.3 100 0.1660816540462
1.9 100 0.179345819633235
2.9 100 0.186267609150843
3.9 100 0.187158731769338
0.3 300 0.0738402486930091
0.35 300 0.0755778659310473
0.4 300 0.089787634699083
0.45 300 0.0957651027830159
0.5 300 0.0980469617780624
0.6 300 0.111502358050689
0.7 300 0.113927145259494
1.3 300 0.142824642978481
1.9 300 0.159436873647141
2.9 300 0.169201829406911
3.9 300 0.178503259705836
0.3 500 0.0638222656482742
0.35 500 0.067437452833138
0.4 500 0.0743443763963996
0.45 500 0.0811270236547306
0.5 500 0.0816076254515815
0.6 500 0.0915013934026569
0.7 500 0.0984885426015853
1.3 500 0.131662813746512
1.9 500 0.143970165567943
2.9 500 0.16135226658048
3.9 500 0.169673861280577
0.3 700 0.0535375637199028
0.35 700 0.0540427566382049
0.4 700 0.0653201850842309
0.45 700 0.0650147616617163
0.5 700 0.0725267709099631
0.6 700 0.0812500198840359
0.7 700 0.0871650689832653
1.3 700 0.116277657989179
1.9 700 0.132514136038659
2.9 700 0.14710392529276
3.9 700 0.15533198022109
